,Embedded_text,dialect
0,بموت ، ايش هادا الغزل الرخيص ؟ ، بس معليش صادقه والله فهادا الشي.,H
1,ياربي معاتيه كل واحد يسوي مصيبه يزغرط يركب حصان يهببون في الدجاج متوهق يطالع يسار مب عارف يمسك مين ولامين اخر شي حط يده على راسه ,W
2,ياروحي تتاكل ماشاء الله عليها، الله يحفظها ويخليها لكم يارب .,H
3,"جديًا هادا الاداء يفوز بقلبي اقسم بالله ، اتمنى انهم يرجعو يأدوه . https://twitter.com/eklmre/status/999684853468626944…
This Tweet is unavailable.",H
4,". https://twitter.com/bbhsparkles/status/998600071221424128…
This Tweet is unavailable.",
5,"واخيرًا ف كوريا .
EXOPASSION
@EXOpassion
 · Jul 2, 2018
180702 | ييشينغ في مطار بكين مُتجه الى كوريا

@weareoneEXO 
-B
0:09
35.8K views",
6,"ساي هويا.
ARAB WOOHYUN
@Arab_newclears
 · Jul 1, 2018
180701[]. 
ووهيون في زفاف أخيه بوهيون.
https://twitter.com/whso486/status/1013352588194996225/video/1…
Show this thread",
7,"Replying to 
@Layan_sami
الوانها واشكالها تفتح النفس ماشاء الله.",W
8,".
EXOPASSION
@EXOpassion
 · Jul 1, 2018
180701| حدث لقاء الاكسوالز الياباني ADVENTURE في تشيبا اليوم الثالث - الجزء الاول - المقدم ذكر بأنه ذهب لحضور حفل تشينبيكشي وعندما قالوا بأن هنالك ضيف خاص هو اعتقد بأنهم سيقومون بذكره وهو كان متوتر للغاية! لكن الضيف الخاص كان في الحقيقة تشانيول و سيهون
@weareoneEXO
-H",
9,"تشان يمثل حظي .
EXOPASSION
@EXOpassion
 · Jul 1, 2018
180701| حدث لقاء الاكسوالز الياباني ADVENTURE في تشيبا اليوم الثالث - الجزء الاول - منذ اليوم الاول للقاء و حتى الان بيكهيون و شيومين فازا 3 مرات وخسروا مرة واحدة
تشانيول خسر 4 مرات
@weareoneEXO
-H",
10,الخطة الجديدة ، لمن تروحو اي حدث او كونسرت او غيرو خدو معاكم كتابكم ويفضل الجغرافيا .,H
11,"نيني .
EXOPASSION
@EXOpassion
 · Jun 29, 2018
180629| حدث لقاء الاكسوالز الياباني ADVENTURE في تشيبا-اليوم الأول - كاي .

@weareoneEXO 
-G",
12,"Replying to 
@Golchamine
 and 
@jumanif_
يلاا قدام تحمست.",W
13,"اشتقنا والله.
ARABINSPIRIT
@arabinfinitenew
 · Jun 9, 2018
• قاموا بغناء ورقص أغنيتهم Nothing's over أيضًا
Show this thread",
14,امانة خير تزكرت لمن غنوها ف الماضي المشؤوم  ، بس ياليتها ترجع هاديكا الايام والله.,H
15,"مع انها صعبة بس قدر يأديها ، كما هو المتوقع من الصوت الرئيسي حقنا مو شي جديد .
ARABINSPIRIT
@arabinfinitenew
 · Jun 9, 2018
•قاموا بتحدي ووهيون أن يغني أغنية سو تشان هيي tears بدون أن يغير اللحن ( بما أنها أغنية نسائية وصعبة جدًا) ولكنه قال إنها صعبة ولا يستطيع فبدأ سونغ يول بترديد ""أرنا أرنا أرنا"" حتى قام ووهيون بغنائها
Show this thread
1:49
239 views",
16,".
ARABINSPIRIT
@arabinfinitenew
 · Jun 9, 2018
• ووهيون : انني أجهز لألبومي المنفرد 
سونغ يول : متى سيفرج عنه؟
ووهيون : ااا... عندما .... وقت ما أريد؟ ㅋㅋㅋㅋㅋ انا الذي أعده فيجب أن أخذ وقتي
Show this thread",
17,"وانا افتقد قيو معاكم  ، الله يصبرنا للسنتين.
ARABINSPIRIT
@arabinfinitenew
 · Jun 9, 2018
• كان هناك تعليق قراءه الأعضاء : ""يبدو أنه عندما لا يكون القائد موجود بالأنحاء ليتفقدهم الأعضاء يثيرون المشاكل""
 تعليق آخر : ""نفتقد سونغ قيو""
الأعضاء: ""نحن نفتقد سونغ قيو هيونغ أيضا.. وميونغ سو""
Show this thread",
18,مهما كان عددهم ، انفينت مايخيبو ابدًا ظننا ف البرامج الواقعيه ، ف البث ، كما هو المتوقع يعني .,W
19,".
EXOPASSION
@EXOpassion
 · Jun 8, 2018
180608 | حفل جولة تشينبيكشي Magical Circus في اوساكا اليوم الثاني - خلال الخطاب الختامي بيكهيون قام بالعد و من ثم أعطوا المعجبين قبلة طائرة. 

-L
Show this thread",
20,مع اني مابلعتها بالدراما وكرهتها ، بس من جد طلعت لطيفة حبيتها خلاص.,W
21,"تفوز بأفضل اغنية بالألبوم بعد هورولولو .
EXOPASSION
@EXOpassion
 · Jun 7, 2018
180607| حفل جولة تشينبيكشي Magical Circus في أوساكا اليوم الأول - تشين من أداء Watch Out
-H",
22,"بموتت احب ذي الاغنيه واحب حماس جونقداي فيها .
EXOPASSION
@EXOpassion
 · Jun 7, 2018
180607| حفل جولة تشينبيكشي Magical Circus في أوساكا اليوم الأول - تشين من أداء Watch Out
-H
1:07
4,258 views",
23,"يول ايش ذا الشعر بالله ؟ بموت.
INFINITE(인피니트) Official
@Official_IFNT
 · Jun 7, 2018
[#INFINITE] [D-2] #인피니트 8주년 언제나 마지막은 단체 사진으로 장식해야 하는 법! 이 사진에 얽힌 비하인드가 있다고 하는데 그 비하인드는 추후에 공개할게욥 (언제에?) 오랜만에 보는 여섯명의 모습에 행복감 100609배 밀려옴
#인피니트_8주년
#완전체를_보니_마음의_평화가_찾아왔다",
24,"بموتت احب ذي الاغنيه واحب حماس جونقداي فيها .
EXOPASSION
@EXOpassion
 · Jun 7, 2018
180607| حفل جولة تشينبيكشي Magical Circus في أوساكا اليوم الأول - تشين من أداء Watch Out
-H
4,258 views
0:04 / 1:09",H
25,"نهاية؟! نهاية ايش ؟ نهاية انكم انتهيتو من الكومباك والتدريب ، ولا نهاية الصور والدلع في التحديثات ولا نهاية ايش؟.
EXOPASSION
@EXOpassion
 · Jul 23, 2018
180723| كاي ترك تعليق على تحديثه في الانستغرام. 
""النهاية"" .

@weareoneEXO 
-G
Show this thread",H
26,"للأبد الدجاج.
EXOPASSION
@EXOpassion
 · Jul 23, 2018
180723 | كاي من برنامج Star Road -
س:لو كان عليك ان تأكل وجبة واحدة حتى تموت، ماذا ستختار؟
كاي: الدجاج.

س:ما افضل طبق حديث صنعته؟
كاي: cơm Sườn ""طبق فيتنامي"".

س:في هذه الفترة ما الذي تأكله كثيرًا؟
كاي: لإنني اتبع حمية لِذلك الدجاج.

@weareoneEXO 
-B
Show this thread",H
27,"Gucci Boy.
EXOPASSION
@EXOpassion
 · Jul 22, 2018
180722| معجبة قابلت كاي بالأمس في متجر Gucci. 
@weareoneEXO 
-D",H
28,".
ARAB WOOHYUN
@Arab_newclears
 · Jul 8, 2018
180708[].
طريقة الرقص الغريبه هذه بالتأكيد تابعه لـ ووهيون.
Show this thread",H
29,"ووهيوني ياربي صوتو معروف .
ARAB WOOHYUN
@Arab_newclears
 · Jul 8, 2018
180708[].
الكثير يعتقدون ان الذي يرتدي ستره بيضاء في ""King of Mask Singer"" هو ووهيون.
https://twitter.com/ifntinfo/status/1015894475975954432/video/1…
Show this thread",H
30,"حبو للدجاج شي مستحيل يتغير .
EXOPASSION
@EXOpassion
 · Jul 8, 2018
180708| كاي من الحلقة الاولى من برنامج Star Road. 
كاي قال ان طعامه المفضل هو الدجاج المقلي المقرمش. 
@weareoneEXO
-G",H
